FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop
37109,Lincoln County,NC,18.8,67981.0
19077,Guthrie County,IA,26.4,8353.0
08059,Jefferson County,CO,0.7,469683.0
72035,Cayey Municipio,PR,18.2,34804.0
38083,Sheridan County,ND,24.2,1080.0
31025,Cass County,NE,20.5,20092.0
54019,Fayette County,WV,14.2,33710.0
08055,Huerfano County,CO,2.4,5787.0
48471,Walker County,TX,0.0,62241.0
48171,Gillespie County,TX,0.0,21661.0
48077,Clay County,TX,0.0,8403.0
48103,Crane County,TX,0.0,3410.0
48277,Lamar County,TX,0.0,38086.0
08009,Baca County,CO,0.0,2785.0
48359,Oldham County,TX,0.0,1618.0
48009,Archer County,TX,0.0,6710.0
48163,Frio County,TX,0.0,15583.0
42105,Potter County,PA,11.0,13183.0
08107,Routt County,CO,7.1,21087.0
30039,Granite County,MT,17.2,2886.0
26057,Gratiot County,MI,20.1,32861.0
02070,Dillingham Census Area,AK,40.9,3371.0
37173,Swain County,NC,28.9,11137.0
55057,Juneau County,WI,25.5,21357.0
21043,Carter County,KY,20.1,20830.0
47133,Overton County,TN,16.3,17511.0
27121,Pope County,MN,31.4,8885.0
13015,Bartow County,GA,3.1,82047.0
13103,Effingham County,GA,8.3,47339.0
31135,Perkins County,NE,21.1,2178.0
05131,Sebastian County,AR,14.9,97154.0
39029,Columbiana County,OH,17.6,81291.0
36099,Seneca County,NY,20.6,27227.0
50023,Washington County,VT,14.0,47619.0
35019,Guadalupe County,NM,3.9,3421.0
46125,Turner County,SD,14.7,6340.0
46105,Perkins County,SD,8.7,2271.0
47005,Benton County,TN,20.2,12951.0
47049,Fentress County,TN,13.9,14732.0
26019,Benzie County,MI,27.0,14621.0
47067,Hancock County,TN,15.8,5237.0
24015,Cecil County,MD,19.2,79749.0
26043,Dickinson County,MI,33.7,20178.0
19147,Palo Alto County,IA,25.0,6823.0
24035,Queen Anne's County,MD,22.8,39619.0
19019,Buchanan County,IA,25.6,15684.0
21211,Shelby County,KY,16.8,38038.0
47155,Sevier County,TN,14.4,78227.0
05017,Chicot County,AR,18.9,7901.0
19167,Sioux County,IA,23.6,25468.0
18071,Jackson County,IN,21.3,33426.0
41025,Harney County,OR,22.5,5907.0
17175,Stark County,IL,24.4,4196.0
45029,Colleton County,SC,15.1,29218.0
05011,Bradley County,AR,19.6,8180.0
29209,Stone County,MO,15.5,26717.0
12103,Pinellas County,FL,22.4,819951.0
16041,Franklin County,ID,17.4,9507.0
18049,Fulton County,IN,18.1,15299.0
49039,Sanpete County,UT,12.1,23148.0
31177,Washington County,NE,22.1,15723.0
17171,Scott County,IL,25.1,3908.0
27169,Winona County,MN,23.7,41513.0
08043,Fremont County,CO,1.8,40155.0
50027,Windsor County,VT,13.6,45228.0
01113,Russell County,AL,10.3,43974.0
04005,Coconino County,AZ,40.7,114726.0
18177,Wayne County,IN,27.2,51411.0
36075,Oswego County,NY,21.3,92646.0
